accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
2Schools Consortium,T92,Oakthorpe Primary School,151,2019
Anton Andover Alliance,2AU,Anton Junior School,21S,2019
Associated Merseyside Partnership SCITT,25F,Deyes High School,1CD,2019
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2019
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2019
Astra SCITT,28E,Astra Aylesbury Hub,2KM,2019
Astra SCITT,28E,Astra Marlow Hub,2JH,2019
Astra SCITT,28E,Dr Challoner's Grammar School,1MP,2019
Bath Spa University,B20,Bristol Early Years Teaching Consortium,1LF,2019
Bath Spa University,B20,Cotswold Edge Teaching Alliance,26P,2019
Bath Spa University,B20,Excalibur TSA,2BO,2019
Bath Spa University,B20,North Avon Teaching School Alliance,25X,2019
Bath Spa University,B20,North Dorset Teaching School Alliance,18M,2019
Bath Spa University,B20,North Somerset Teaching Alliance,16Z,2019
Bath Spa University,B20,The Bath and Mendip Partnership Teaching School,1UW,2019
Bath Spa University,B20,West Wilts Alliance,2FY,2019
Billericay Educational Consortium,B28,Billericay School,1PT,2019
Billericay Educational Consortium,B28,Buttsbury Infant School,1PV,2019
Birmingham City University,B25,Arthur Terry School,1QN,2019
Birmingham City University,B25,Ashlawn Teaching School,1XO,2019
Birmingham City University,B25,Biddulph High School,14K,2019
Birmingham City University,B25,Boldmere Teaching School Alliance,13B,2019
Birmingham City University,B25,Bromsgrove Primary Teaching School Alliance,2HU,2019
Birmingham City University,B25,Colmore Partnership Teaching School Alliance,19Q,2019
Birmingham City University,B25,ConnectEd Partnership,27U,2019
Birmingham City University,B25,Greenholm Primary School,19R,2019
Birmingham City University,B25,Painsley Teaching School Alliance,155,2019
Birmingham City University,B25,Riverley Primary School,2LF,2019
Birmingham City University,B25,Ryders Hayes Teaching School,131,2019
Birmingham City University,B25,South Worcestershire and ITT Consortium,1Y6,2019
Birmingham City University,B25,The Earls High School,1L5,2019
Birmingham City University,B25,Uttoxeter Learning Trust Teaching School,2J9,2019
Birmingham City University,B25,Waverley School Direct,1RH,2019
Bishop Grosseteste University,B38,Aurum Schools Partnership,1X2,2019
Bishop Grosseteste University,B38,Eastgate Academy,2H2,2019
Bishop Grosseteste University,B38,Greenwood Academies Trust,1EX,2019
Bishop Grosseteste University,B38,Hampton Hargate Primary School,1XV,2019
Bishop Grosseteste University,B38,Humber Teaching School,1ES,2019
Bishop Grosseteste University,B38,Nottingham Catholic Teaching School Alliance,1YD,2019
Bishop Grosseteste University,B38,"Queen Elizabeth's Grammar School, Horncastle",2KK,2019
Bishop Grosseteste University,B38,Stamford ITE Cluster,2E9,2019
Bishop Grosseteste University,B38,St Mary's School Direct Partnership Programme,2C5,2019
Bishop Grosseteste University,B38,Tall Oaks Academy Trust,27M,2019
Bishop Grosseteste University,B38,The Forge Trust,2GK,2019
Bishop Grosseteste University,B38,The Phoenix School,21O,2019
Bishop's Stortford SCITT,26T,Bishop's Stortford Education Trust (BSET) SCITT,13E,2019
Bluecoat SCITT Alliance Nottingham,1YH,Bluecoat Academy,12W,2019
Bournemouth Poole & Dorset Teacher Training Partnership,B52,The Arnewood School Academy,1ZM,2019
Bourton Meadow Initial Teacher Training Centre,1WR,Bedgrove Infant School,1YP,2019
Bourton Meadow Initial Teacher Training Centre,1WR,Bourton Meadow Academy,16F,2019
Bradford Birth to 19 SCITT,259,Belle Vue Girls' Academy,2G4,2019
Bradford Birth to 19 SCITT,259,Bingley Grammar School Direct,2BP,2019
Bradford Birth to 19 SCITT,259,Parkwood Primary School,2HH,2019
Bradford Birth to 19 SCITT,259,St Edmund's Nursery School & Children's Centre,1EN,2019
Bradford Birth to 19 SCITT,259,St John's CofE Primary School BD4 6JF,2HY,2019
Bradford Birth to 19 SCITT,259,The Beckfoot School Direct Partnership,1MU,2019
Bradford College,B60,Abbey MAT Primary Alliance,2DQ,2019
Bromley Schools  Collegiate,B91,Bromley Schools' Collegiate Eliot Bank Gordonbrock,1UO,2019
Bromley Schools  Collegiate,B91,Bromley Schools' Collegiate School Direct,1C9,2019
Bromley Schools  Collegiate,B91,Education Teaching Alliance Lewisham,1GA,2019
Bromley Schools  Collegiate,B91,Haberdashers' Aske's Hatcham College,1KP,2019
Buckingham Partnership,B71,The Buckingham Partnership (School Direct),258,2019
Cabot Learning Federation SCITT,2AV,Bristol Early Years Teaching Consortium,1LF,2019
Cabot Learning Federation SCITT,2AV,Bristol Metropolitan Academy,2H5,2019
Cabot Learning Federation SCITT,2AV,South Glos Teaching School Alliance,27R,2019
Canterbury Christ Church University,C10,Aquila,2CA,2019
Canterbury Christ Church University,C10,Bexley Teaching School Alliance,1HE,2019
Canterbury Christ Church University,C10,Canterbury and Swale Teacher Training Alliance,1CR,2019
Canterbury Christ Church University,C10,Catholic Teaching Alliance (South East London),134,2019
Canterbury Christ Church University,C10,Claremont Primary School,1TP,2019
Canterbury Christ Church University,C10,"Dover, Deal and Sandwich Partnership",1CG,2019
Canterbury Christ Church University,C10,East Kent Learning Alliance,2DG,2019
Canterbury Christ Church University,C10,Furley Park,1YV,2019
Canterbury Christ Church University,C10,LEAF,2JR,2019
Canterbury Christ Church University,C10,Mascalls Training Partnership,1GR,2019
Canterbury Christ Church University,C10,Medway Teaching School Alliance,1FN,2019
Canterbury Christ Church University,C10,Shepway Teaching School Alliance,1NG,2019
Canterbury Christ Church University,C10,Tandridge Teaching Alliance,2BJ,2019
Canterbury Christ Church University,C10,Thames Teaching Alliance,2B8,2019
Canterbury Christ Church University,C10,The Langton Schools Alliance,1FO,2019
Canterbury Christ Church University,C10,Valley Invicta Teaching School Alliance,1CU,2019
Canterbury Christ Church University,C10,Westlands Teaching School Alliance,14H,2019
Carmel Teacher Training Partnership (CTTP),C23,Cardinal Hume Catholic School,198,2019
Carmel Teacher Training Partnership (CTTP),C23,Carmel College,1KF,2019
Carmel Teacher Training Partnership (CTTP),C23,St Anthony's Girls' Catholic Academy,1BM,2019
Carmel Teacher Training Partnership (CTTP),C23,St Cuthbert's High School,1KL,2019
